,,,,,Type of Product,,,,,,,,,,,,,,,,,Product Display,,,,,,,Package Type,,,,,,,,
S/N,Latitude,Longitude,Type of Outlet,Specify type of outlet,Type of Product (Combined Response),Coca-Cola,Pepsi,Bigi,RC Cola,7Up,Fanta,Sprite,La Casera,Schweppes,Fayrouz,Mirinda,Mountain Dew,Teem,American Cola,Others,Product Type - Others,Product Display (Combined Response),On shelf/carton,In refridgerator/cooler,On display stand,With consumer (actively being consumed),Others,Product Display - Others,Package Type Combined,PET bottle (50cl/1L),Glass bottle (35cl/60cl),Can (33cl),Others,Package Type - Others,Product with Higher shelf/refrigerator presence,Product with Higher shelf/refrigerator presence - Others,Stock condition
1,6.634719,3.255957,Shop,,Pepsi Sprite American Cola,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,,On display stand,0,0,1,,0,,PET bottle (50cl/1L),1,0,0,0,,Others,American cola,Well stocked
2,6.637297,3.257817,Shop,,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Malt,On display stand,0,0,1,,0,,PET bottle (50cl/1L) Can (33cl),1,0,1,0,,All equal,,Well stocked
3,6.63985,3.284733,Shop,,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Malt and voju milk,On display stand,0,0,1,,0,,PET bottle (50cl/1L),1,0,0,0,,Others,Viju milk,Well stocked
4,6.657487,3.291203,Shop,,Coca-Cola Fanta,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Almost empty
5,6.657487,3.291203,Shop,,Coca-Cola Fanta,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,,0,,PET bottle (50cl/1L),1,0,0,0,,,,Almost empty
6,6.657972,3.291868,Shop,,Coca-Cola Pepsi Sprite American Cola,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,Others,None,Partially stocked
7,6.655646,3.292588,Shop,,Coca-Cola Pepsi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,None,Almost empty
8,6.655684,3.292582,Shop,,Coca-Cola Pepsi Fanta American Cola,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
9,6.624438,3.281765,Shop,,Coca-Cola Pepsi La Casera Others,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,Coke,On display stand,0,0,1,,0,,PET bottle (50cl/1L) Can (33cl),1,0,1,0,,Others,Malt,Well stocked
10,6.624492,3.281755,Shop,,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Horse power,On shelf/carton On display stand,1,0,1,,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
11,6.65558,3.291192,Shop,,Pepsi 7Up,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,Glass bottle (35cl/60cl),0,1,0,0,,Pepsi,,Almost empty
